Team,Power Level,
Rutgers Scarlet Knights,74.64,
San Diego State Aztecs,24.96,
San Jose State Spartans,20.39,
SMU Mustangs,31.23,
South Alabama Jaguars,89.33,
South Carolina Gamecocks,29.58,
South Florida Bulls,72.06,
Southern Miss Golden Eagles,39.21,
Stanford Cardinal,24.73,
Syracuse Orange,32.53,
TCU Horned Frogs,68.79,
Temple Owls,60.5,
Tennessee Volunteers,37.84,
Texas Longhorns,75.92,
Texas A&M Aggies,88.08,
Texas State Bobcats,70.2,
Texas Tech Red Raiders,73.67,
Toledo Rockets,9.97,
Troy Trojans,87.77,
Tulane Green Wave,90.01,
Tulsa Golden Hurricane,41.47,
UAB Blazers,18.49,
UCF Knights,33.06,
UCLA Bruins,36.05, 
UConn Huskies,73.56,
UMass Minutemen,48.82,
UNLV Rebels,59.74,
USC Trojans,61.97,
UTEP Miners,96.04,
UTSA Roadrunners,46.68,
Utah Utes,60.25,
Utah State Aggies,4.35,
Vanderbilt Commodores,44.32,
Virginia Cavaliers,44.42,
Virginia Tech Hokies,19.31,
Wake Forest Demon Deacons,47.99,
Washington Huskies,97.5,
Washington State Cougars,97.54,
West Virginia Mountaineers,20.33,
Western Kentucky Hilltoppers,65.68,
Western Michigan Broncos,86.06,
Wisconsin Badgers,64.69,
Wyoming Cowboys,22.52,
Extra team 1,51.7,
Extra team 2,17.9,
Extra team 3,42.89,
Extra team 4,47.43,
Extra team 5,2.21,
Extra team 6,46.53,
Extra team 7,26.65,
Extra team 8,60.67,
Extra team 9,43.59,
Extra team 10,38.02,
Extra team 11,29.64,
Extra team 12,94.19,
Extra team 13,87.59,
Extra team 14,86.74,
Extra team 15,18.03,
Extra team 16,85.89,
Extra team 17,2.64,
Extra team 18,12.82,
Extra team 19,11.13,
Extra team 20,89.36,
Extra team 21,73.23,
Extra team 22,14.12,
Extra team 23,20.61,
Extra team 24,11.07,
Extra team 25,67.89,
Extra team 26,0.6,
Extra team 27,26.99,
Extra team 28,52.32,
Extra team 29,29.19,
Extra team 30,98.79,
Extra team 31,80.92,
Extra team 32,54.3,
Extra team 33,34.73,
Extra team 34,32.77,
Extra team 35,59.32,
Extra team 36,26.48,
Extra team 37,40.25,
Extra team 38,11.76,
Extra team 39,14.79,
Extra team 40,31,
Extra team 41,24.73,
Extra team 42,9.65,
Extra team 43,31.87,
Extra team 44,19.37,
Extra team 45,37.95,
Extra team 46,93.65,
Extra team 47,36.12,
Extra team 48,55.21,
Extra team 49,44.02,
Extra team 50,32.23,
Extra team 51,81.69,
Extra team 52,69.95,
Extra team 53,46.21,
Extra team 54,72.24,
Extra team 55,97.59,
Extra team 56,39.42,
Extra team 57,91.29,
Extra team 58,2.13,
Extra team 59,75.68,
Extra team 60,80.23,
Extra team 61,14.98,
Extra team 62,14.18,
Extra team 63,83.08,
Extra team 64,48.97,
Extra team 65,16.97,
Extra team 66,18.67,
Extra team 67,88.64,
Extra team 68,15.1,
Extra team 69,18.35,
Extra team 70,91.8,
Extra team 71,70.15,
Extra team 72,41.5,
Extra team 73,34.19,
Extra team 74,17.03,
Extra team 75,84.29,
Extra team 76,37.11,
Extra team 77,79.05,
Extra team 78,76.75,
Extra team 79,30,
Extra team 80,69.11,
Extra team 81,93.05,
Extra team 82,42.26,
Extra team 83,86.46,
Extra team 84,15.41,
Extra team 85,28.05,
Extra team 86,27.88,
Extra team 87,93.24,
Extra team 88,40.42,
Extra team 89,45.8,
Extra team 90,23.47,
Extra team 91,84.31,
Extra team 92,57.76,
Extra team 93,88.4,
Extra team 94,19.73,
Extra team 95,75.22,
Extra team 96,31.41,
Extra team 97,23.16,
Extra team 98,9,
Extra team 99,78.67,
Extra team 100,83.08,
Extra team 101,70.32,
Extra team 102,38.18,
Extra team 103,30.05,
Extra team 104,52.08,
Extra team 105,32.97,
Extra team 106,15.68,
Extra team 107,56.61,
Extra team 108,33.68,
Extra team 109,56.49,
Extra team 110,59.31,
Extra team 111,78.88,
Extra team 112,68.29,
Extra team 113,1.57,
Extra team 114,15.18,
Extra team 115,20.26,
Extra team 116,42.09,
Extra team 117,16.52,
Extra team 118,54.7,
Extra team 119,76.94,
Extra team 120,94.37,
Extra team 121,22.05,
Extra team 122,92.33,
Extra team 123,2.47,
Extra team 124,80.67,
Extra team 125,55.31,
Extra team 126,62.07,
Extra team 127,37.67,
Extra team 128,20.43,
Extra team 129,1.97,
Extra team 130,10.76,
Extra team 131,27.8,
Extra team 132,90.79,
Extra team 133,9.18,
Extra team 134,62.34,
Extra team 135,95.49,
Extra team 136,80.32,
Extra team 137,59.11,
Extra team 138,13.02,
Extra team 139,15.18,
Extra team 140,56.34,
Extra team 141,38.56,
Extra team 142,51.9,
Extra team 143,85.36,
Extra team 144,26.3,
Extra team 145,83.74,
Extra team 146,93.51,
Extra team 147,46.25,
Extra team 148,4.01,
Extra team 149,32.5,
Extra team 150,84.5,
Extra team 151,23.44,
Extra team 152,44.74,
Extra team 153,40.77,
Extra team 154,67.14,
Extra team 155,66.71,
Extra team 156,98.32,
Extra team 157,9.56,
Extra team 158,60.88,
Extra team 159,82.97,
Extra team 160,44.5,
Extra team 161,94.7,
Extra team 162,21.44,
Extra team 163,13.04,
Extra team 164,87.14,
Extra team 165,2.51,
Extra team 166,36.15,
Extra team 167,83,
Extra team 168,88.09,
Extra team 169,46.53,
Extra team 170,82.53,
Extra team 171,38.41,
Extra team 172,36.66,
Extra team 173,28.81,
Extra team 174,95.2,
Extra team 175,94.2,
Extra team 176,41.83,
Extra team 177,3.33,
Extra team 178,11.5,
Extra team 179,95.74,
Extra team 180,11.83,
Extra team 181,10.26,
Extra team 182,65.97,
Extra team 183,29.28,
Extra team 184,98.91,
Extra team 185,7.34,
Extra team 186,2.48,
Extra team 187,96.65,
Extra team 188,85.85,
Extra team 189,34.35,
Extra team 190,35.61,
Extra team 191,31.92,
Extra team 192,16.71,
Extra team 193,49.42,
Extra team 194,49.02,
Extra team 195,31.01,
Extra team 196,86.94,
Extra team 197,11.1,
Extra team 198,91.41,
Extra team 199,43.62,
Extra team 200,94.15,
Extra team 201,71.08,
Extra team 202,49.74,
Extra team 203,99.28,
Extra team 204,42.11,
Extra team 205,29.83,
Extra team 206,77.15,
Extra team 207,95.81,
Extra team 208,6.04,
Extra team 209,50.18,
Extra team 210,77.42,
Extra team 211,34.72,
Extra team 212,4.18,
Extra team 213,83.78,
Extra team 214,10.86,
Extra team 215,0.47,
Extra team 216,93.66,
Extra team 217,93.58,
Extra team 218,86.71,
Extra team 219,94.48,
Extra team 220,44.7,
Extra team 221,86.8,
Extra team 222,83.25,
Extra team 223,25.98,
Extra team 224,65.48,
Extra team 225,65.06,
Extra team 226,48.63,
Extra team 227,3.92,
Extra team 228,43.06,
Extra team 229,52.67,
Extra team 230,73.72,
Extra team 231,64.41,
Extra team 232,50.01,
Extra team 233,98.63,
Extra team 234,95.53,
Extra team 235,95.3,
Extra team 236,55.19,
Extra team 237,12.44,
Extra team 238,78.5,
Extra team 239,52.41,
Extra team 240,34.22,
Extra team 241,42.18,
Extra team 242,54.1,
Extra team 243,39.91,
Extra team 244,98.47,
Extra team 245,44.92,
Extra team 246,8.42,
Extra team 247,76.6,
Extra team 248,44.68,
Extra team 249,9.4,
Extra team 250,99.87,
Extra team 251,19.18,
Extra team 252,5.34,
Extra team 253,30.3,
Extra team 254,19.57,
Extra team 255,23.95,
Extra team 256,30.78,
Extra team 257,7.69,
Extra team 258,59.3,
Extra team 259,89.49,
Extra team 260,78.63,
Extra team 261,38.61,
Extra team 262,65.14,
Extra team 263,79.88,
Extra team 264,89.24,
Extra team 265,52.28,
Extra team 266,83.88,
Extra team 267,69.99,
Extra team 268,11.29,
Extra team 269,54.84,
Extra team 270,11.33,
Extra team 271,89.72,
Extra team 272,55.07,
Extra team 273,21.87,
Extra team 274,66.96,
Extra team 275,11.18,
Extra team 276,41.52,
Extra team 277,52.88,
Extra team 278,36.23,
Extra team 279,14.31,
Extra team 280,73.53,
Extra team 281,10.95,
Extra team 282,97.23,
Extra team 283,86.87,
Extra team 284,78.46,
Extra team 285,43.93,
Extra team 286,30.4,
Extra team 287,59.45,
Extra team 288,7.26,
Extra team 289,64.94,
Extra team 290,52.47,
Extra team 291,15.34,
Extra team 292,67.62,
Extra team 293,63.41,
Extra team 294,35.74,
Extra team 295,77.25,
Extra team 296,2.83,
Extra team 297,72.15,
Extra team 298,2.51,
Extra team 299,20.06,
Extra team 300,88.15,
Extra team 301,65.98,
Extra team 302,44.66,
Extra team 303,26.24,
Extra team 304,31.79,
Extra team 305,97.05,
Extra team 306,0.89,
Extra team 307,1.7,
Extra team 308,76.06,
Extra team 309,55.86,
Extra team 310,85.87,
Extra team 311,29.81,
Extra team 312,56.02,
Extra team 313,47.71,
Extra team 314,29.9,
Extra team 315,52.97,
Extra team 316,8.32,
Extra team 317,40.48,
Extra team 318,35.92,
Extra team 319,78.7,
Extra team 320,73.31,
Extra team 321,95.32,
Extra team 322,27.02,
Extra team 323,39.6,
Extra team 324,55.54,
Extra team 325,71.35,
Extra team 326,21.74,
Extra team 327,99.06,
Extra team 328,87.87,
Extra team 329,44.27,
Extra team 330,41.29,
Extra team 331,11.97,
Extra team 332,35.76,
Extra team 333,24.2,
Extra team 334,77.39,
Extra team 335,0.15,
Extra team 336,45.13,
Extra team 337,41.57,
Extra team 338,19.11,
Extra team 339,73.58,
Extra team 340,27.51,
Extra team 341,37.06,
Extra team 342,1.86,
Extra team 343,62.05,
Extra team 344,11.51,
Extra team 345,16.8,
Extra team 346,17.93,
Extra team 347,2.92,
Extra team 348,88,
Extra team 349,28.07,
Extra team 350,17.12,
Extra team 351,77.47,
Extra team 352,45.97,
Extra team 353,31.96,
Extra team 354,89.76,
Extra team 355,81.05,
Extra team 356,98.35,
Extra team 357,51.72,
Extra team 358,49.19,
Extra team 359,70.36,
Extra team 360,62.49,
Extra team 361,82.69,
Extra team 362,25.46,
Extra team 363,12.28,
Extra team 364,45.16,
Extra team 365,57.92,
Extra team 366,90.62,
Extra team 367,14.57,
Extra team 368,6.26,
Extra team 369,32.38,
Extra team 370,58.48,
Extra team 371,19.51,
Extra team 372,61.09,
Extra team 373,56.93,
Extra team 374,7.64,
Extra team 375,47.61,
Extra team 376,6.24,
Extra team 377,33.69,
Extra team 378,19.72,
Extra team 379,73.52,
Extra team 380,80.32,
Extra team 381,87.54,
Extra team 382,33.61,
Extra team 383,11.38,
Extra team 384,54.33,
Extra team 385,8.93,
Extra team 386,36.87,
Extra team 387,29.41,
Extra team 388,75,
Extra team 389,99.15,
Extra team 390,39.64,
Extra team 391,38.96,
Extra team 392,67.98,
Extra team 393,8.27,
Extra team 394,68.69,
Extra team 395,26.91,
Extra team 396,42.25,
Extra team 397,2.09,
Extra team 398,3.21,
Extra team 399,43.13,
Extra team 400,57.38,
Extra team 401,65.76,
Extra team 402,51.13,
Extra team 403,25.98,
Extra team 404,22.05,
Extra team 405,76.38,
Extra team 406,9.63,
Extra team 407,39.47,
Extra team 408,51.75,
Extra team 409,39.61,
Extra team 410,94.95,
Extra team 411,35.91,
Extra team 412,24.36,
Extra team 413,26.09,
Extra team 414,39.37,
Extra team 415,2.75,
Extra team 416,69.98,
Extra team 417,29.22,
Extra team 418,52.96,
Extra team 419,9.79,
Extra team 420,82.65,
Extra team 421,60.35,
Extra team 422,46.99,
Extra team 423,46.42,
Extra team 424,66.24,
Extra team 425,43.05,
Extra team 426,20.17,
Extra team 427,85.72,
Extra team 428,31.93,
Extra team 429,2.52,
Extra team 430,42.1,
Extra team 431,93.23,
Extra team 432,63.34,
Extra team 433,26.57,
Extra team 434,64.36,
Extra team 435,63.34,
Extra team 436,72.96,
Extra team 437,85.15,
Extra team 438,55.26,
Extra team 439,16.9,
Extra team 440,92.15,
Extra team 441,93.9,
Extra team 442,92.59,
Extra team 443,70.34,
Extra team 444,50.5,
Extra team 445,48.09,
Extra team 446,50.18,
Extra team 447,86.12,
Extra team 448,17.14,
Extra team 449,15.77,
Extra team 450,84.34,
Extra team 451,34.37,
Extra team 452,92.42,
Extra team 453,51.87,
Extra team 454,85.96,
Extra team 455,92.94,
Extra team 456,24.04,
Extra team 457,98.42,
Extra team 458,88.69,
Extra team 459,90.52,
Extra team 460,56.53,
Extra team 461,97.87,
Extra team 462,33.86,
Extra team 463,10.26,
Extra team 464,30.33,
Extra team 465,66.49,
Extra team 466,29.65,
Extra team 467,10.99,
Extra team 468,98.53,
Extra team 469,72.2,
Extra team 470,76.01,
Extra team 471,42.09,
Extra team 472,4.77,
Extra team 473,92.08,
Extra team 474,37.18,
Extra team 475,7.38,
Extra team 476,71,
Extra team 477,70.68,
Extra team 478,28.71,
Extra team 479,65.09,
Extra team 480,3.95,
Extra team 481,80.89,
Extra team 482,87.52,
Extra team 483,95.8,
Extra team 484,11.73,
Extra team 485,79.02,
Extra team 486,98.93,
Extra team 487,37.94,
Extra team 488,14.27,
Extra team 489,64.38,
Extra team 490,71.12,
Extra team 491,85.64,
Extra team 492,19.3,
Extra team 493,72.28,
Extra team 494,5.57,
Extra team 495,66.4,
Extra team 496,44.07,
Extra team 497,74.37,
Extra team 498,69.39,
Extra team 499,40.16,
Extra team 500,90.09,
Extra team 501,61.45,
Extra team 502,53.4,
Extra team 503,9.29,
Extra team 504,53.16,
Extra team 505,70.9,
Extra team 506,23.51,
Extra team 507,93.82,
Extra team 508,84.82,
Extra team 509,36.73,
Extra team 510,86.07,
Extra team 511,95.99,
Extra team 512,19.58,
Extra team 513,27.6,
Extra team 514,42.29,
Extra team 515,6.95,
Extra team 516,53.98,
Extra team 517,69.29,
Extra team 518,8.09,
Extra team 519,98.1,
Extra team 520,69.38,
Extra team 521,23.21,
Extra team 522,46.94,
Extra team 523,14.09,
Extra team 524,28.45,
Extra team 525,12.02,
Extra team 526,21.31,
Extra team 527,94.47,
Extra team 528,76.66,
Extra team 529,62.3,
Extra team 530,60.19,
Extra team 531,17.96,
Extra team 532,29.58,
Extra team 533,2.22,
Extra team 534,56.24,
Extra team 535,20.05,
Extra team 536,40.39,
Extra team 537,74.17,
Extra team 538,51.54,
Extra team 539,50.98,
Extra team 540,82.94,
Extra team 541,64.98,
Extra team 542,77.63,
Extra team 543,80.17,
Extra team 544,35.19,
Extra team 545,91.38,
Extra team 546,79.46,
Extra team 547,22.9,
Extra team 548,71.62,
Extra team 549,86.38,
Extra team 550,16.12,
Extra team 551,24.91,
Extra team 552,36.59,
Extra team 553,92.12,
Extra team 554,22.42,
Extra team 555,89.4,
Extra team 556,52.08,
Extra team 557,1.28,
Extra team 558,12.91,
Extra team 559,17.4,
Extra team 560,69.92,
Extra team 561,14.49,
Extra team 562,77.93,
Extra team 563,41.71,
Extra team 564,54.54,
Extra team 565,13.76,
Extra team 566,14.18,
Extra team 567,90.41,
Extra team 568,65.83,
Extra team 569,50.61,
Extra team 570,61.91,
Extra team 571,94.5,
Extra team 572,67.6,
Extra team 573,59.48,
Extra team 574,16.45,
Extra team 575,87.55,
Extra team 576,90.95,
Extra team 577,67.34,
Extra team 578,85.09,
Extra team 579,86.15,
Extra team 580,43.76,
Extra team 581,63.82,
Extra team 582,95.9,
Extra team 583,51.37,
Extra team 584,26.17,
Extra team 585,20.11,
Extra team 586,28.13,
Extra team 587,96.95,
Extra team 588,69.35,
Extra team 589,89.03,
Extra team 590,99.2,
Extra team 591,86.8,
Extra team 592,75.3,
Extra team 593,75,
Extra team 594,55.38,
Extra team 595,32.22,
Extra team 596,15.63,
Extra team 597,32.29,
Extra team 598,82.11,
Extra team 599,72.72,
Extra team 600,60.42,
Extra team 601,4.4,
Extra team 602,34.44,
Extra team 603,88.38,
Extra team 604,57.12,
Extra team 605,82.15,
Extra team 606,73.84,
Extra team 607,98.84,
Extra team 608,14.45,
Extra team 609,44.05,
Extra team 610,27.59,
Extra team 611,69.4,
Extra team 612,72.66,
Extra team 613,59.7,
Extra team 614,32.93,
Extra team 615,96.84,
Extra team 616,76.32,
Extra team 617,53.05,
Extra team 618,86.39,
Extra team 619,50.27,
Extra team 620,81.1,
Extra team 621,48.77,
Extra team 622,10.16,
Extra team 623,68.36,
Extra team 624,99.64,
Extra team 625,21.65,
Extra team 626,60.77,
Extra team 627,63.44,
Extra team 628,92.68,
Extra team 629,77.48,
Extra team 630,2.76,
Extra team 631,6.88,
Extra team 632,18.7,
Extra team 633,72.39,
Extra team 634,79.22,
Extra team 635,45.88,
Extra team 636,63.07,
Extra team 637,84.7,
Extra team 638,32.53,
Extra team 639,99.82,
Extra team 640,10.21,
Extra team 641,24.22,
Extra team 642,13.18,
Extra team 643,50.06,
Extra team 644,93.08,
Extra team 645,10.66,
Extra team 646,14.47,
Extra team 647,62.48,
Extra team 648,59.19,
Extra team 649,17.89,
Extra team 650,79.65,
Extra team 651,45.91,
Extra team 652,89.38,
Extra team 653,24.87,
Extra team 654,35.02,
Extra team 655,27.08,
Extra team 656,51.97,
Extra team 657,75.13,
Extra team 658,79.92,
Extra team 659,20.06,
Extra team 660,22.07,
Extra team 661,9.87,
Extra team 662,46.55,
Extra team 663,24.84,
Extra team 664,49.24,
Extra team 665,26.6,
Extra team 666,94.51,
Extra team 667,31.81,
Extra team 668,39,
Extra team 669,75.28,
Extra team 670,35.86,
Extra team 671,2,
Extra team 672,84.19,
Extra team 673,51.76,
Extra team 674,90.26,
Extra team 675,63.37,
Extra team 676,82.08,
Extra team 677,60.12,
Extra team 678,64.24,
Extra team 679,57.9,
Extra team 680,65.11,
Extra team 681,93.09,
Extra team 682,25.12,
Extra team 683,38.36,
Extra team 684,49.75,
Extra team 685,12.81,
Extra team 686,69.87,
Extra team 687,20.36,
Extra team 688,98.82,
Extra team 689,63.22,
Extra team 690,43.61,
Extra team 691,74.52,
Extra team 692,31.24,
Extra team 693,88.31,
Extra team 694,16.77,
Extra team 695,78.75,
Extra team 696,29.82,
Extra team 697,48.32,
Extra team 698,80.1,
Extra team 699,17.55,
Extra team 700,86.97,
Extra team 701,80.62,
Extra team 702,43.76,
Extra team 703,94.43,
Extra team 704,21.49,
Extra team 705,48.59,
Extra team 706,79.57,
Extra team 707,75.81,
Extra team 708,99.23,
Extra team 709,51.42,
Extra team 710,43.77,
Extra team 711,53,
Extra team 712,53.71,
Extra team 713,76.58,
Extra team 714,99.35,
Extra team 715,20.84,
Extra team 716,89.9,
Extra team 717,53.63,
Extra team 718,23.55,
Extra team 719,22.28,
Extra team 720,9.43,
Extra team 721,54.55,
Extra team 722,95.3,
Extra team 723,53.67,
Extra team 724,90.7,
Extra team 725,26.03,
Extra team 726,85.95,
Extra team 727,46.8,
Extra team 728,91.05,
Extra team 729,73.47,
Extra team 730,39.31,
Extra team 731,27.85,
Extra team 732,70,
Extra team 733,60.96,
Extra team 734,97.47,
Extra team 735,29.96,
Extra team 736,42.16,
Extra team 737,15.77,
Extra team 738,89.83,
Extra team 739,55.23,
Extra team 740,19.4,
Extra team 741,12.15,
Extra team 742,52.03,
Extra team 743,7.6,
Extra team 744,58.42,
Extra team 745,12.44,
Extra team 746,51.21,
Extra team 747,66.39,
Extra team 748,18.36,
Extra team 749,57.45,
Extra team 750,70.96,
Extra team 751,44.47,
Extra team 752,59.24,
Extra team 753,2.52,
Extra team 754,49.36,
Extra team 755,12.66,
Extra team 756,3.4,
Extra team 757,34.51,
Extra team 758,66.39,
Extra team 759,54.14,
Extra team 760,50.44,
Extra team 761,97.93,
Extra team 762,78.38,
Extra team 763,39.6,
Extra team 764,39.62,
Extra team 765,42.75,
Extra team 766,60.93,
Extra team 767,20.61,
Extra team 768,75.48,
Extra team 769,52.24,
Extra team 770,67.17,
Extra team 771,67.17,
Extra team 772,27.55,
Extra team 773,69.89,
Extra team 774,70.08,
Extra team 775,15.45,
Extra team 776,66.77,
Extra team 777,21.6,
Extra team 778,41.37,
Extra team 779,98.91,
Extra team 780,56.36,
Extra team 781,77.64,
Extra team 782,41.9,
Extra team 783,54.15,
Extra team 784,62.26,
Extra team 785,58.44,
Extra team 786,40.89,
Extra team 787,37,
Extra team 788,74.33,
Extra team 789,46.74,
Extra team 790,69.46,
Extra team 791,18.9,
Extra team 792,0.73,
Extra team 793,77.07,
Extra team 794,63.34,
Extra team 795,64.35,
Extra team 796,70.71,
Extra team 797,88.8,
Extra team 798,47.04,
Extra team 799,53.64,
Extra team 800,91.38,
Extra team 801,24.49,
Extra team 802,88.57,
Extra team 803,7.53,
Extra team 804,41.23,
Extra team 805,29.38,
Extra team 806,91.54,
Extra team 807,77.21,
Extra team 808,42.65,
Extra team 809,55.76,
Extra team 810,35.27,
Extra team 811,97.07,
Extra team 812,96.05,
Extra team 813,87.96,
Extra team 814,97.74,
Extra team 815,70.49,
Extra team 816,92.3,
Extra team 817,23.8,
Extra team 818,18.67,
Extra team 819,26.05,
Extra team 820,56.08,
Extra team 821,62.39,
Extra team 822,33.76,
Extra team 823,17.91,
Extra team 824,16.39,
Extra team 825,1.87,
Extra team 826,25.57,
Extra team 827,45.52,
Extra team 828,15.41,
Extra team 829,58.16,
Extra team 830,40.01,
Extra team 831,75.58,
Extra team 832,95.71,
Extra team 833,46.4,
Extra team 834,59.56,
Extra team 835,0.26,
Extra team 836,43.46,
Extra team 837,93.66,
Extra team 838,77.46,
Extra team 839,74.4,
Extra team 840,67.2,
Extra team 841,19.74,
Extra team 842,6.24,
Extra team 843,32.27,
Extra team 844,73.28,
Extra team 845,2.3,
Extra team 846,57.7,
Extra team 847,12.73,
Extra team 848,79.59,
Extra team 849,2.04,
Extra team 850,2.36,
Extra team 851,52.25,
Extra team 852,64.67,
Extra team 853,17.78,
Extra team 854,71.47,
Extra team 855,69.02,
Extra team 856,34.22,
Extra team 857,82.18,
Extra team 858,14.51,
Extra team 859,92.12,
Extra team 860,97.54,
Extra team 861,52.43,
Extra team 862,5.13,
Extra team 863,40.14,
Extra team 864,0.34,
Extra team 865,22.3,
Extra team 866,53.65,
Extra team 867,80.58,
Extra team 868,82.78,
Extra team 869,43.95,
Extra team 870,2.4,
Extra team 871,31.53,
Extra team 872,10.57,
Extra team 873,82.84,
Extra team 874,12.18,
Extra team 875,54.31,
Extra team 876,79.15,
Extra team 877,42.97,
Extra team 878,22.39,
Extra team 879,99.07,
Extra team 880,92.66,
Extra team 881,89.18,
Extra team 882,94.92,
Extra team 883,26.76,
Extra team 884,63.09,
Extra team 885,62.16,
Extra team 886,89.12,
Extra team 887,93.85,
Extra team 888,22.88,
Extra team 889,4.63,
Extra team 890,71.39,
Extra team 891,41.03,
Extra team 892,12.47,
Extra team 893,54.02,
Extra team 894,47.2,
Extra team 895,67.26,
Extra team 896,8.73,
Extra team 897,18.66,
Extra team 898,9.21,
Extra team 899,95.24,
Extra team 900,66.94,
Extra team 901,83.95,
Extra team 902,24.88,
Extra team 903,86.22,
Extra team 904,79.25,
Extra team 905,92.76,
Extra team 906,21.57,
Extra team 907,3.77,
Extra team 908,25.14,
Extra team 909,24.83,
Extra team 910,95.07,
Extra team 911,42.96,
Extra team 912,76.62,
Extra team 913,24.42,
Extra team 914,3.78,
Extra team 915,29.21,
Extra team 916,14.46,
Extra team 917,38.28,
Extra team 918,30.95,
Extra team 919,3.42,
Extra team 920,96.88,
Extra team 921,55.41,
Extra team 922,89.23,
Extra team 923,62.29,
Extra team 924,38.37,
Extra team 925,17.24,
Extra team 926,16.89,
Extra team 927,39.35,
Extra team 928,13.29,
Extra team 929,42.73,
Extra team 930,74.92,
Extra team 931,28.13,
Extra team 932,12.54,
Extra team 933,32.98,
Extra team 934,95.33,
Extra team 935,59.04,
Extra team 936,94.17,
Extra team 937,38.01,
Extra team 938,70.98,
Extra team 939,39.39,
Extra team 940,65.54,
Extra team 941,25.92,
Extra team 942,74.8,
Extra team 943,31.18,
Extra team 944,53.2,
Extra team 945,45.35,
Extra team 946,8.17,
Extra team 947,7.46,
Extra team 948,61.35,
Extra team 949,65.5,
Extra team 950,50.85,
Extra team 951,68.99,
Extra team 952,61.03,
Extra team 953,38.87,
Extra team 954,3.93,
Extra team 955,35.03,
Extra team 956,59.07,
Extra team 957,49.69,
Extra team 958,10.09,
Extra team 959,60.46,
Extra team 960,27.44,
Extra team 961,2.62,
Extra team 962,61.11,
Extra team 963,34.25,
Extra team 964,97.49,
Extra team 965,60.78,
Extra team 966,84.22,
Extra team 967,21.72,
Extra team 968,15.91,
Extra team 969,32.24,
Extra team 970,90.87,
Extra team 971,24.5,
Extra team 972,4.81,
Extra team 973,17.21,
Extra team 974,13.93,
Extra team 975,97.66,
Extra team 976,60.21,
Extra team 977,17.53,
Extra team 978,86.63,
Extra team 979,1.47,
Extra team 980,48.51,
Extra team 981,65.14,
Extra team 982,2.22,
Extra team 983,80.07,
Extra team 984,74.39,
Extra team 985,85.05,
Extra team 986,50.08,
Extra team 987,55.92,
Extra team 988,68.55,
Extra team 989,56.56,
Extra team 990,92.68,
Extra team 991,39.83,
Extra team 992,15.96,
Extra team 993,87.12,
Extra team 994,88.31,
Extra team 995,57.23,
Extra team 996,12.46,
